"BirdID","StartTown","Year","EndTown","Disperser","Developed","Agriculture","Wetland","Grassland","Road_KM","X","Y","Ag_Indx","Connectance","Edg_Dns","Sex","Age","Flock.Size"
444,"Bangor",2019,"Bangor",0,0.47612859999797,0.088389657587786,0.071385789842346,0.00704518460617,723.456577210284,516521.522592938,4964371.1956643,92.1459818701899,34.3511920361913,52.0497264100535,"F","A",30
445,"Bangor",2019,"Bangor",0,0.47612859999797,0.088389657587786,0.071385789842346,0.00704518460617,723.456577210284,516521.522592938,4964371.1956643,92.1459818701899,34.3511920361913,52.0497264100535,"F","A",30
447,"Bangor",2019,"Bangor",0,0.47612859999797,0.088389657587786,0.071385789842346,0.00704518460617,723.456577210284,516521.522592938,4964371.1956643,92.1459818701899,34.3511920361913,52.0497264100535,"F","A",30
450,"Bangor",2019,"Greenbush",1,0.47612859999797,0.088389657587786,0.071385789842346,0.00704518460617,723.456577210284,516521.522592938,4964371.1956643,92.1459818701899,34.3511920361913,52.0497264100535,"F","A",30
476,"Newport",2019,"Newport",0,0.071899543808494,0.108470112401825,0.132201476743639,0.010177303296807,421.319145403071,481597.471495056,4967454.40343411,89.7595251675688,26.3037859857987,68.1265664160401,"M","A",4
478,"Newport",2019,"Corinna",1,0.071899543808494,0.108470112401825,0.132201476743639,0.010177303296807,421.319145403071,481597.471495056,4967454.40343411,89.7595251675688,26.3037859857987,68.1265664160401,"M","A",4
480,"Guilford",2020,"Monson",1,0.054991721048018,0.036437128664654,0.082370702249927,0.016187786110841,460.984918208274,472465.854487652,5006479.77830752,90.3789124773288,35.9715527081726,63.8276471828815,"M","J",15
481,"Guilford",2020,"Guilford",0,0.054991721048018,0.036437128664654,0.082370702249927,0.016187786110841,460.984918208274,472465.854487652,5006479.77830752,90.3789124773288,35.9715527081726,63.8276471828815,"M","J",15
487,"Bowerbank",2020,"Sebec",1,0.018646479761748,0.001026950104896,0.104660886404648,0.044276220236785,181.775647591225,480137.716534702,5018692.68991266,87.4277030886541,22.9109910439119,83.0444416756449,"M","A",6
532,"Poland",2020,"Poland",0,0.080337144877991,0.066876399858541,0.083453672049982,0.034200754450077,1153.37826018279,388646.543239526,4877958.56494376,88.6179766881486,26.7095962279377,75.3442816113116,"M","A",8
536,"Poland",2020,"Poland",0,0.080337144877991,0.066876399858541,0.083453672049982,0.034200754450077,1153.37826018279,388646.543239526,4877958.56494376,88.6179766881486,26.7095962279377,75.3442816113116,"M","A",8
546,"Poland",2020,"Auburn",1,0.080337144877991,0.066876399858541,0.083453672049982,0.034200754450077,1153.37826018279,388646.543239526,4877958.56494376,88.6179766881486,26.7095962279377,75.3442816113116,"M","A",8
547,"Orono",2020,"Lowell",1,0.180097983527407,0.030673104231752,0.228290968474865,0.010011360408975,590.564697079862,522383.613244527,4970403.30323649,90.2877957920918,27.3788662031802,63.6049295150279,"M","A",8
551,"Strong",2020,"Strong",0,0.04966541321768,0.037807705707798,0.079952425003304,0.010512152047767,372.161710867668,404714.289031758,4960785.47819965,90.9677065849731,40.2929848103817,59.2931402914836,"M","J",14
558,"Thorndike",2019,"Thorndike",0,0.046485370051635,0.122423407917384,0.053631669535284,0.023228915662651,313.734483345385,481151.661225835,4937829.27174183,88.7086274946378,33.7761436126639,74.9388848374772,"M","J",40
559,"Thorndike",2019,"Unity",1,0.046485370051635,0.122423407917384,0.053631669535284,0.023228915662651,313.734483345385,481151.661225835,4937829.27174183,88.7086274946378,33.7761436126639,74.9388848374772,"M","A",40
560,"Thorndike",2019,"Thorndike",0,0.046485370051635,0.122423407917384,0.053631669535284,0.023228915662651,313.734483345385,481151.661225835,4937829.27174183,88.7086274946378,33.7761436126639,74.9388848374772,"M","A",40
561,"Albion",2019,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","A",21
564,"Albion",2019,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","A",21
581,"Winterport",2019,"Winterport",0,0.071362209421728,0.103752457140622,0.063342884805336,0.028634856679022,463.489957695383,506724.874227557,4945007.06593935,89.1810273972706,32.7947865180025,71.0564639879585,"M","A",11
582,"Winterport",2019,"Winterport",0,0.071362209421728,0.103752457140622,0.063342884805336,0.028634856679022,463.489957695383,506724.874227557,4945007.06593935,89.1810273972706,32.7947865180025,71.0564639879585,"M","A",11
586,"Albion",2019,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","A",19
589,"Albion",2019,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","A",19
591,"Albion",2019,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","J",19
597,"Albion",2019,"Unity",1,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","A",10
599,"Albion",2019,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","A",10
602,"Albion",2019,"Benton",1,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","A",10
604,"China",2019,"China",0,0.060906316323847,0.085707994642104,0.173703493030453,0.012624084845593,652.875244674294,457578.824987481,4918467.86202477,89.0029177340088,25.0160600382649,73.4952890247008,"M","A",6
608,"Albion",2019,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","A",40
613,"Albion",2019,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","J",40
616,"Frankfort",2019,"Monroe",1,0.046918405807217,0.077825085502897,0.061785440078174,0.030320374118797,340.317189643111,506221.943720885,4938341.11509434,89.375760556517,35.0744752564241,69.7360772003255,"M","A",30
618,"Frankfort",2019,"Monroe",1,0.046918405807217,0.077825085502897,0.061785440078174,0.030320374118797,340.317189643111,506221.943720885,4938341.11509434,89.375760556517,35.0744752564241,69.7360772003255,"M","A",30
621,"Albion",2019,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","A",50
623,"Glenburn",2019,"Levant",1,0.069350990217132,0.066141732283465,0.140062037699833,0.010164638511095,738.710515944328,511931.838510414,4972698.00977135,88.4487257021287,26.7522778426434,76.2689301368176,"M","A",5
630,"Monroe",2019,"Swanville",1,0.040468042633586,0.080232060742167,0.113490535771575,0.026307346807828,463.844369142313,496369.383232202,4939312.32088828,89.4947715366939,33.6050280468203,69.6263582319019,"M","J",35
638,"Gorham",2019,"Gorham",0,0.1667628115944,0.184116405491798,0.069265068172409,0.012161767799819,1365.43795628491,382515.465159767,4839965.43835451,87.5867310682347,23.3215232448945,82.0713923867419,"M","J",12
641,"Gorham",2019,"Gorham",0,0.1667628115944,0.184116405491798,0.069265068172409,0.012161767799819,1365.43795628491,382515.465159767,4839965.43835451,87.5867310682347,23.3215232448945,82.0713923867419,"M","J",12
654,"Jonesboro",2019,"Jonesboro",0,0.035603685760426,0.047743896646718,0.150660207086539,0.082150660207087,99.0075522620464,611912.434611317,4946884.05718829,89.1777300833696,27.5470284124856,70.0808284121046,"M","J",24
666,"Cherryfield",2020,"Cherryfield",0,0.037806391560658,0.040443686006826,0.19419795221843,0.03345485572448,204.320161628481,584122.525576544,4943121.34670928,87.4984303069921,27.3856078590978,82.1046321131594,"M","J",34
681,"Howland",2019,"Medford",1,0.041567661962154,0.008865095951065,0.219423053066522,0.009189545103203,253.329686229574,523667.196224748,5011755.88156684,88.9652093646612,29.4996124476022,73.3783405802629,"M","A",21
682,"Howland",2019,"Enfield",1,0.041567661962154,0.008865095951065,0.219423053066522,0.009189545103203,253.329686229574,523667.196224748,5011755.88156684,88.9652093646612,29.4996124476022,73.3783405802629,"M","A",21
684,"Howland",2019,"Howland",0,0.041567661962154,0.008865095951065,0.219423053066522,0.009189545103203,253.329686229574,523667.196224748,5011755.88156684,88.9652093646612,29.4996124476022,73.3783405802629,"M","A",21
685,"Howland",2019,"Howland",0,0.041567661962154,0.008865095951065,0.219423053066522,0.009189545103203,253.329686229574,523667.196224748,5011755.88156684,88.9652093646612,29.4996124476022,73.3783405802629,"M","A",21
687,"Howland",2019,"Howland",0,0.041567661962154,0.008865095951065,0.219423053066522,0.009189545103203,253.329686229574,523667.196224748,5011755.88156684,88.9652093646612,29.4996124476022,73.3783405802629,"M","A",21
691,"Lincoln",2020,"Lincoln",0,0.065736514854561,0.030778156965403,0.099333452114999,0.019603543348455,279.223070336115,542614.567811677,5022522.40149793,89.641570279562,29.6028476721593,68.9177180905777,"M","A",22
