"BirdID","StartHex","Year","EndHex","Disperser","Forestd","Agrcltr","Develpd","Shrub","Herbacs","Wetlnds","Water","Road_KM","X","Y","Ag_Indx","Cnnctnc","Edg_Dns","Sex","Age"
280,"Grid_766",2018,"Grid_766",0,0.628925484452239,0.09589793499523,0.05061815238444,0.003700241864768,0.007072858147759,0.21060543280303,0.003179895352535,551.067817544325,489924.795023441,4981534.45516573,87.770596162501,23.7896686566487,81.6900838743416,"F","A"
281,"Grid_766",2018,"Grid_766",0,0.628925484452239,0.09589793499523,0.05061815238444,0.003700241864768,0.007072858147759,0.21060543280303,0.003179895352535,551.067817544325,489924.795023441,4981534.45516573,87.770596162501,23.7896686566487,81.6900838743416,"F","A"
286,"Grid_1051",2018,"Grid_1026",1,0.771510017625265,0.001007158015899,0.002958526671702,0.097640372648466,0.038218049710442,0.076741843818568,0.011924031509658,46.3528476919499,550147.618127555,4972051.81892216,90.6168129684297,37.2519825602678,62.6823842131114,"F","A"
291,"Grid_844",2018,"Grid_844",0,0.559775769362773,0.119525137944083,0.040393195638591,0.01379880844473,0.016210079818363,0.247639330124172,0.002657678667289,386.304705841186,506349.201149997,4991017.09030695,86.8002607208576,22.1796710923423,88.1330663684981,"F","A"
352,"Grid_264",2018,"Grid_264",0,0.502472721563702,0.167909569039956,0.249348021386643,0.011216648786317,0.011173038176728,0.051678572363084,0.00620142868357,2121.51798548784,385903.557389221,4839294.92596411,88.4537882292454,24.09289608648,77.159771519706,"F","A"
354,"Grid_1000",2018,"Grid_1052",1,0.724413622893692,0.002954697534566,0.025905745148647,0.013730653248864,0.012896385709692,0.217830730592417,0.002268164872122,116.233811068642,539198.013677839,4991017.08983335,90.3554399212742,35.1349803741501,64.4424989959752,"F","A"
355,"Grid_1000",2018,"Grid_1052",1,0.724413622893692,0.002954697534566,0.025905745148647,0.013730653248864,0.012896385709692,0.217830730592417,0.002268164872122,116.233811068642,539198.013677839,4991017.08983335,90.3554399212742,35.1349803741501,64.4424989959752,"F","A"
356,"Grid_1000",2018,"Grid_1000",0,0.724413622893692,0.002954697534566,0.025905745148647,0.013730653248864,0.012896385709692,0.217830730592417,0.002268164872122,116.233811068642,539198.013677839,4991017.08983335,90.3554399212742,35.1349803741501,64.4424989959752,"F","A"
359,"Grid_1000",2018,"Grid_1026",1,0.724413622893692,0.002954697534566,0.025905745148647,0.013730653248864,0.012896385709692,0.217830730592417,0.002268164872122,116.233811068642,539198.013677839,4991017.08983335,90.3554399212742,35.1349803741501,64.4424989959752,"F","A"
359,"Grid_1000",2018,"Grid_1052",1,0.724413622893692,0.002954697534566,0.025905745148647,0.013730653248864,0.012896385709692,0.217830730592417,0.002268164872122,116.233811068642,539198.013677839,4991017.08983335,90.3554399212742,35.1349803741501,64.4424989959752,"F","A"
361,"Grid_1000",2018,"Grid_1026",1,0.724413622893692,0.002954697534566,0.025905745148647,0.013730653248864,0.012896385709692,0.217830730592417,0.002268164872122,116.233811068642,539198.013677839,4991017.08983335,90.3554399212742,35.1349803741501,64.4424989959752,"F","A"
362,"Grid_1000",2018,"Grid_1052",1,0.724413622893692,0.002954697534566,0.025905745148647,0.013730653248864,0.012896385709692,0.217830730592417,0.002268164872122,116.233811068642,539198.013677839,4991017.08983335,90.3554399212742,35.1349803741501,64.4424989959752,"F","A"
365,"Grid_264",2018,"Grid_264",0,0.502472721563702,0.167909569039956,0.249348021386643,0.011216648786317,0.011173038176728,0.051678572363084,0.00620142868357,2121.51798548784,385903.557389221,4839294.92596411,88.4537882292454,24.09289608648,77.159771519706,"F","A"
372,"Grid_264",2018,"Grid_264",0,0.502472721563702,0.167909569039956,0.249348021386643,0.011216648786317,0.011173038176728,0.051678572363084,0.00620142868357,2121.51798548784,385903.557389221,4839294.92596411,88.4537882292454,24.09289608648,77.159771519706,"F","J"
381,"Grid_317",2019,"Grid_317",0,0.682470466978514,0.090708880608191,0.11180704211704,0.008782825479884,0.00732048944211,0.098091034822978,0.000819260551283,1240.19330454571,396853.161295975,4858260.19656898,87.5678359367704,27.7727519289144,82.9844588328089,"F","A"
392,"Grid_947",2019,"Grid_922",1,0.556752077562327,0.026134002770083,0.185483033240997,0.012837603878116,0.008526662049861,0.164473684210526,0.045792936288089,774.091039539868,528248.409774722,4972051.81923714,89.0805833052736,25.5300024229994,72.9912455577707,"F","A"
395,"Grid_947",2019,"Grid_922",1,0.556752077562327,0.026134002770083,0.185483033240997,0.012837603878116,0.008526662049861,0.164473684210526,0.045792936288089,774.091039539868,528248.409774722,4972051.81923714,89.0805833052736,25.5300024229994,72.9912455577707,"F","A"
